Team,Game
Fairleigh Dickinson,Play-in
Texas Southern,Play-in
Nevada,Play-in
Arizona State,Play-in
Southeast Missouri State,Play-in
Texas A&M-Corpus Christi,Play-in
Pittsburgh,Play-in
Mississippi State,Play-in
Howard,MW1
Kansas,MW1
Texas A&M-Corpus Christi,W1
Alabama,W1
Northern Kentucky,S1
Houston,S1
Colgate,S8
Texas,S8
UNC Asheville,MW8
UCLA,MW8
Princeton,W8
Arizona,W8
Oral Roberts,E3
Duke,E3
Furman,W4
Virginia,W4
Penn State,S7
Texas A&M,S7
College of Charleston,W3
San Diego State,W3
Louisiana,E4
Tennessee,E4
Missouri,W7
Utah State,W7
West Virginia,W2
Maryland,W2
Illinois,MW2
Arkansas,MW2
Auburn,S2
Iowa,S2
Boise State,MW7
Northwestern,MW7
Kent State,S4
Indiana,S4
Southern California,E7
Michigan State,E7
Fairleigh Dickinson,E1
Purdue,E1
Vermont,E8
Marquette,E8
Grand Canyon,MW6
Gonzaga,MW6
Iona,MW4
Connecticut,MW4
UC Santa Barbara,W6
Baylor,W6
Kennesaw State,S6
Xavier,S6
Montana State,E6
Kansas State,E6
Drake,S3
Miami (FL),S3
Virginia Commonwealth,MW3
Saint Mary's (CA),MW3
Arizona State,MW5
TCU,MW5
Florida Atlantic,E2
Memphis,E2
Pittsburgh,S5
Iowa State,S5
NC State,W5
Creighton,W5
Providence,E5
Kentucky,E5