School,Conference,Championships
Abilene Christian,Other,0
Air Force,Other,0
Akron,Other,0
Alabama,SEC,0
Alabama A&M,Other,0
Alabama State,Other,0
Albany (NY),Other,0
Alcorn State,Other,0
American,Other,0
Appalachian State,Other,0
Arizona,PAC 12,1
Arizona State,PAC 12,0
Arkansas,SEC,1
Arkansas State,Other,0
Arkansas-Pine Bluff,Other,0
Army,Other,0
Auburn,SEC,0
Austin Peay,Other,0
Ball State,Other,0
Baylor,Big 12,1
Bellarmine,Other,0
Belmont,Other,0
Bethune-Cookman,Other,0
Binghamton,Other,0
Boise State,Other,0
Boston College,ACC,0
Boston University,Other,0
Bowling Green State,Other,0
Bradley,Other,0
Brigham Young,Other,0
Brown,Other,0
Bryant,Other,0
Bucknell,Other,0
Buffalo,Other,0
Butler,Big East,0
Cal Poly,Other,0
Cal State Bakersfield,Other,0
Cal State Fullerton,Other,0
Cal State Northridge,Other,0
California,PAC 12,1
California Baptist,Other,0
Campbell,Other,0
Canisius,Other,0
Central Arkansas,Other,0
Central Connecticut State,Other,0
Central Florida,Other,0
Central Michigan,Other,0
Charleston Southern,Other,0
Charlotte,Other,0
Chattanooga,Other,0
Chicago State,Other,0
Cincinnati,Other,2
Clemson,ACC,0
Cleveland State,Other,0
Coastal Carolina,Other,0
Colgate,Other,0
College of Charleston,Other,0
Colorado,PAC 12,0
Colorado State,Other,0
Columbia,Other,0
Connecticut,Big East,5
Coppin State,Other,0
Cornell,Other,0
Creighton,Big East,0
Dartmouth,Other,0
Davidson,Other,0
Dayton,Other,0
Delaware,Other,0
Delaware State,Other,0
Denver,Other,0
DePaul,Big East,0
Detroit Mercy,Other,0
Drake,Other,0
Drexel,Other,0
Duke,ACC,5
Duquesne,Other,0
East Carolina,Other,0
East Tennessee State,Other,0
Eastern Illinois,Other,0
Eastern Kentucky,Other,0
Eastern Michigan,Other,0
Eastern Washington,Other,0
Elon,Other,0
Evansville,Other,0
Fairfield,Other,0
Fairleigh Dickinson,Other,0
Florida,SEC,2
Florida A&M,Other,0
Florida Atlantic,Other,0
Florida Gulf Coast,Other,0
Florida International,Other,0
Florida State,ACC,0
Fordham,Other,0
Fresno State,Other,0
Furman,Other,0
Gardner-Webb,Other,0
George Mason,Other,0
George Washington,Other,0
Georgetown,Big East,1
Georgia,SEC,0
Georgia Southern,Other,0
Georgia State,Other,0
Georgia Tech,ACC,0
Gonzaga,Other,0
Grambling,Other,0
Grand Canyon,Other,0
Green Bay,Other,0
Hampton,Other,0
Hartford,Other,0
Harvard,Other,0
Hawaii,Other,0
High Point,Other,0
Hofstra,Other,0
Holy Cross,Other,1
Houston,Other,0
Houston Christian,Other,0
Howard,Other,0
Idaho,Other,0
Idaho State,Other,0
Illinois,Big 10,0
Illinois State,Other,0
Illinois-Chicago,Other,0
Incarnate Word,Other,0
Indiana,Big 10,5
Indiana State,Other,0
Iona,Other,0
Iowa,Big 10,0
Iowa State,Big 12,0
IUPUI,Other,0
Jackson State,Other,0
Jacksonville,Other,0
Jacksonville State,Other,0
James Madison,Other,0
Kansas,Big 12,4
Kansas City,Other,0
Kansas State,Big 12,0
Kennesaw State,Other,0
Kent State,Other,0
Kentucky,SEC,8
La Salle,Other,1
Lafayette,Other,0
Lamar,Other,0
Lehigh,Other,0
Liberty,Other,0
Lindenwood,Other,0
Lipscomb,Other,0
Little Rock,Other,0
Long Beach State,Other,0
Long Island University,Other,0
Longwood,Other,0
Louisiana,Other,0
Louisiana State,SEC,0
Louisiana Tech,Other,0
Louisiana-Monroe,Other,0
Louisville,ACC,2
Loyola (IL),Other,1
Loyola (MD),Other,0
Loyola Marymount,Other,0
Maine,Other,0
Manhattan,Other,0
Marist,Other,0
Marquette,Big East,1
Marshall,Other,0
Maryland,Big 10,1
Maryland-Baltimore County,Other,0
Maryland-Eastern Shore,Other,0
Massachusetts,Other,0
Massachusetts-Lowell,Other,0
McNeese State,Other,0
Memphis,Other,0
Mercer,Other,0
Merrimack,Other,0
Miami (FL),ACC,0
Miami (OH),Other,0
Michigan,Big 10,1
Michigan State,Big 10,2
Middle Tennessee,Other,0
Milwaukee,Other,0
Minnesota,Big 10,0
Mississippi,SEC,0
Mississippi State,SEC,0
Mississippi Valley State,Other,0
Missouri,SEC,0
Missouri State,Other,0
Monmouth,Other,0
Montana,Other,0
Montana State,Other,0
Morehead State,Other,0
Morgan State,Other,0
Mount St. Mary's,Other,0
Murray State,Other,0
Navy,Other,0
NC State,ACC,2
Nebraska,Big 10,0
Nevada,Other,0
Nevada-Las Vegas,Other,0
New Hampshire,Other,0
New Mexico,Other,0
New Mexico State,Other,0
New Orleans,Other,0
Niagara,Other,0
Nicholls State,Other,0
NJIT,Other,0
Norfolk State,Other,0
North Alabama,Other,0
North Carolina,ACC,6
North Carolina A&T,Other,0
North Carolina Central,Other,0
North Dakota,Other,0
North Dakota State,Other,0
North Florida,Other,0
North Texas,Other,0
Northeastern,Other,0
Northern Arizona,Other,0
Northern Colorado,Other,0
Northern Illinois,Other,0
Northern Iowa,Other,0
Northern Kentucky,Other,0
Northwestern,Big 10,0
Northwestern State,Other,0
Notre Dame,ACC,0
Oakland,Other,0
Ohio,Other,0
Ohio State,Big 10,1
Oklahoma,Big 12,0
Oklahoma State,Big 12,2
Old Dominion,Other,0
Omaha,Other,0
Oral Roberts,Other,0
Oregon,PAC 12,1
Oregon State,PAC 12,0
Pacific,Other,0
Penn State,Big 10,0
Pennsylvania,Other,0
Pepperdine,Other,0
Pittsburgh,ACC,0
Portland,Other,0
Portland State,Other,0
Prairie View,Other,0
Presbyterian,Other,0
Princeton,Other,0
Providence,Big East,0
Purdue,Big 10,0
Purdue Fort Wayne,Other,0
Queens (NC),Other,0
Quinnipiac,Other,0
Radford,Other,0
Rhode Island,Other,0
Rice,Other,0
Richmond,Other,0
Rider,Other,0
Robert Morris,Other,0
Rutgers,Big 10,0
Sacramento State,Other,0
Sacred Heart,Other,0
Saint Francis (PA),Other,0
Saint Joseph's,Other,0
Saint Louis,Other,0
Saint Mary's (CA),Other,0
Saint Peter's,Other,0
Sam Houston,Other,0
Samford,Other,0
San Diego,Other,0
San Diego State,Other,0
San Francisco,Other,2
San Jose State,Other,0
Santa Clara,Other,0
Seattle,Other,0
Seton Hall,Big East,0
Siena,Other,0
South Alabama,Other,0
South Carolina,SEC,0
South Carolina State,Other,0
South Carolina Upstate,Other,0
South Dakota,Other,0
South Dakota State,Other,0
South Florida,Other,0
Southeast Missouri State,Other,0
Southeastern Louisiana,Other,0
Southern,Other,0
Southern California,PAC 12,0
Southern Illinois,Other,0
SIU Edwardsville,Other,0
Southern Indiana,Other,0
Southern Methodist,Other,0
Southern Mississippi,Other,0
Southern Utah,Other,0
St. Bonaventure,Other,0
St. Francis (NY),Other,0
St. John's (NY),Big East,0
St. Thomas,Other,0
Stanford,PAC 12,1
Stephen F. Austin,Other,0
Stetson,Other,0
Stonehill,Other,0
Stony Brook,Other,0
Syracuse,ACC,1
Tarleton State,Other,0
TCU,Big 12,0
Temple,Other,0
Tennessee,SEC,0
Tennessee State,Other,0
Tennessee Tech,Other,0
Tennessee-Martin,Other,0
Texas,Big 12,0
Texas A&M,SEC,0
Texas A&M-Commerce,Other,0
Texas A&M-Corpus Christi,Other,0
Texas Southern,Other,0
Texas State,Other,0
Texas Tech,Big 12,0
Texas-Rio Grande Valley,Other,0
The Citadel,Other,0
Toledo,Other,0
Towson,Other,0
Troy,Other,0
Tulane,Other,0
Tulsa,Other,0
UAB,Other,0
UC Davis,Other,0
UC Irvine,Other,0
UC Riverside,Other,0
UC San Diego,Other,0
UC Santa Barbara,Other,0
UCLA,PAC 12,11
UNC Asheville,Other,0
UNC Greensboro,Other,0
UNC Wilmington,Other,0
UT Arlington,Other,0
Utah,PAC 12,1
Utah State,Other,0
Utah Tech,Other,0
Utah Valley,Other,0
UTEP,Other,0
UTSA,Other,0
Valparaiso,Other,0
Vanderbilt,SEC,0
Vermont,Other,0
Villanova,Big East,3
Virginia,ACC,1
Virginia Commonwealth,Other,0
VMI,Other,0
Virginia Tech,ACC,0
Wagner,Other,0
Wake Forest,ACC,0
Washington,PAC 12,0
Washington State,PAC 12,0
Weber State,Other,0
West Virginia,Big 12,0
Western Carolina,Other,0
Western Illinois,Other,0
Western Kentucky,Other,0
Western Michigan,Other,0
Wichita State,Other,0
William & Mary,Other,0
Winthrop,Other,0
Wisconsin,Big 10,1
Wofford,Other,0
Wright State,Other,0
Wyoming,Other,1
Xavier,Big East,0
Yale,Other,0
Youngstown State,Other,0